iter	Passed	Remaining
346	3320	6248
347	3329	6238
348	3339	6229
349	3349	6220
350	3359	6211
351	3369	6203
352	3380	6195
353	3389	6186
354	3399	6176
355	3409	6167
356	3418	6157
357	3428	6148
358	3438	6138
359	3447	6129
360	3457	6120
361	3467	6110
362	3477	6102
363	3487	6093
364	3497	6084
365	3506	6074
366	3516	6065
367	3526	6056
368	3538	6050
369	3548	6042
370	3559	6034
371	3569	6026
372	3579	6017
373	3589	6008
374	3599	5999
375	3609	5990
376	3619	5981
377	3629	5971
378	3638	5961
379	3647	5951
380	3657	5942
381	3667	5933
382	3681	5931
383	3693	5925
384	3703	5915
385	3705	5894
386	3714	5884
387	3724	5874
388	3733	5864
389	3742	5854
390	3752	5844
391	3761	5834
392	3771	5824
393	3780	5815
394	3790	5805
395	3799	5795
396	3810	5787
397	3812	5766
398	3821	5756
399	3831	5746
400	3840	5736
401	3849	5727
402	3859	5717
403	3862	5698
404	3872	5688
405	3881	5679
406	3891	5670
407	3901	5660
408	3911	5651
409	3921	5642
410	3931	5634
